timestamp,aX,aY,aZ,gX,gY,gZ
7285.656,0.549,0.404,1.358,81.238,-113.77,-1.465
7306.064,0.366,0.156,0.827,82.52,-70.801,-28.442
7326.472,0.307,0.003,0.687,84.167,-84.473,-41.931
7346.88,0.361,-0.026,0.819,92.59,-112.305,-48.523
7367.288,0.45,0.067,1.127,111.45,-118.835,-58.167
7387.696,0.525,0.237,1.102,121.338,-90.82,-80.078
7408.104,0.5,0.447,0.892,167.053,-78.125,-144.897
7428.512,0.327,0.186,0.621,205.078,-74.829,-196.777
7448.92,0.326,-0.291,0.531,180.542,-91.797,-242.92
7469.328,0.419,-0.411,1.182,131.958,-110.718,-233.093
7489.736,0.235,-0.567,1.772,123.23,-68.97,-221.558
7510.144,-0.019,-0.804,1.766,113.159,15.015,-236.145
7530.552,-0.238,-1.112,1.678,93.079,58.96,-246.948
7550.96,-0.291,-1.46,1.61,65.552,96.008,-224.426
7571.368,-0.247,-1.306,1.674,31.372,125.793,-179.932
7591.776,-0.317,-0.973,1.46,-2.563,178.772,-161.987
7612.184,-0.444,-1.005,1.39,-24.353,181.152,-193.237
7632.592,-0.736,-1.421,1.074,48.523,211.243,-184.875
7653,-0.902,-1.503,1.003,44.861,202.332,-148.865
7673.408,-1.065,-1.91,1.014,30.701,220.154,-126.038
7693.816,-1.073,-1.62,0.805,-12.634,244.995,-63.538
7714.224,-1.231,-1.759,0.533,15.32,229.492,-52.673
7734.632,-1.205,-1.947,0.422,-7.324,207.397,-9.583
7755.04,-1.039,-1.69,0.423,-12.756,201.05,27.771
7775.448,-0.896,-1.558,0.328,-30.029,209.656,73.73
7795.856,-0.764,-1.287,0.34,-42.297,216.003,108.521
7816.264,-0.659,-1.231,0.248,-28.931,225.342,119.751
7836.672,-0.497,-1.062,0.235,-15.381,201.66,146.912
7857.08,-0.349,-0.916,0.137,-17.273,188.538,164.001
7877.488,-0.229,-0.899,0.156,-33.569,171.814,166.687
7897.896,-0.041,-0.743,0.457,-41.992,174.377,179.26
7918.304,0.019,-0.474,0.094,-12.146,191.895,175.659
7938.712,0.108,-0.5,0.015,-8.667,161.499,155.762
7959.12,0.251,-0.53,0.122,-1.038,126.343,145.508
7979.528,0.329,-0.441,0.142,13.245,114.746,147.705
7999.936,0.429,-0.202,-0.035,21.301,98.938,142.456
8020.344,0.532,-0.003,0.193,7.629,62.256,121.033
8040.752,0.658,-0.053,0.29,9.583,69.58,97.168
8061.16,0.686,-0.029,0.053,22.156,80.688,96.985
8081.568,0.759,0.048,0.106,28.137,62.561,89.294
8101.976,0.817,0.075,0.077,41.748,56.824,73.181
