aX,aY,aZ,gX,gY,gZ
0.963,0.049,-0.274,6.042,6.104,-2.197
0.973,-0.010,-0.237,2.808,1.770,-0.732
0.974,0.018,-0.188,0.122,4.639,5.615
0.967,0.058,-0.244,0.793,7.690,4.883
0.955,0.069,-0.268,1.038,6.592,2.991
0.928,-0.008,-0.303,-2.075,3.967,-2.747
0.931,-0.069,-0.291,-1.770,-0.305,-0.732
0.962,0.047,-0.237,4.517,-2.197,9.583
0.970,0.123,-0.172,-13.977,0.183,4.272
0.958,0.022,-0.259,2.197,7.019,-1.709
0.969,0.054,-0.252,3.601,-0.732,1.465
0.986,0.037,-0.194,-0.671,2.380,0.488
0.982,0.053,-0.196,3.540,5.432,1.404
0.973,-0.005,-0.222,3.784,9.277,0.366

0.363,1.186,-1.129,-48.279,204.590,37.170
0.264,0.927,-1.624,-66.040,186.829,-41.626
0.074,0.521,-1.792,-50.964,69.458,-129.028
-0.120,0.275,-1.609,-11.963,10.681,-168.274
-0.404,-0.068,-1.768,31.372,1.892,-196.106
-0.636,-0.343,-2.191,18.005,-25.635,-185.242
-0.847,-0.371,-2.427,-9.277,-82.336,-157.410
-0.890,-0.724,-1.793,-47.302,-246.277,-129.333
-1.110,-0.368,-1.714,-42.358,-314.209,-39.978
-1.226,-0.336,-1.041,-57.983,-407.288,-27.283
-1.598,-0.355,-0.369,-6.470,-462.158,-37.415
-2.194,-0.919,-0.150,38.818,-520.691,-64.331
-2.491,-1.272,0.406,34.302,-598.877,-63.965
-3.289,-1.798,0.731,23.254,-657.104,-89.050
-3.675,-1.921,1.105,20.752,-683.167,102.356
-3.420,-1.190,1.908,-105.469,-706.116,234.619
-2.787,-0.005,2.409,-155.334,-644.714,334.778
-2.563,-1.334,2.965,-255.493,-563.721,172.302
-2.918,-1.733,2.849,-161.011,-407.410,270.447
-2.653,-0.265,2.221,-33.264,-254.028,507.141
-2.634,0.265,2.536,-78.857,-287.231,515.259
-2.451,0.320,2.847,-199.768,-167.908,451.416
-2.413,0.139,1.785,-176.758,54.321,409.729
-2.385,0.671,1.474,-133.606,46.997,460.388
-1.993,1.818,2.333,-265.686,-91.125,545.288
-1.844,2.158,2.837,-355.164,-66.528,266.724
-1.594,0.447,2.170,-445.190,122.131,-111.023
-1.436,-0.186,1.835,-428.284,171.997,-135.132
-1.240,0.256,1.675,-387.451,249.451,-48.584
-1.102,0.528,0.780,-406.433,343.262,-83.191
-0.993,0.584,0.293,-422.363,335.083,-115.601
-0.660,0.359,-0.033,-398.560,262.878,-185.242
-0.509,0.156,-0.087,-332.642,209.534,-208.435
-0.594,0.354,-0.206,-226.257,205.261,-177.429
-0.901,0.920,-0.895,-52.307,233.704,-143.860
-0.799,0.823,-1.257,-51.514,158.813,-179.993
-0.716,1.055,-0.464,-128.052,-58.228,-190.002
-1.131,1.212,0.300,-120.361,-124.268,-269.409
