aX,aY,aZ,gX,gY,gZ
-0.235,-1.369,0.688,22.705,223.694,-14.099
-0.193,-1.461,0.393,8.362,230.164,-19.470
-0.282,-1.576,0.141,23.010,219.788,-1.953
-0.293,-1.636,0.021,21.606,205.200,17.578
-0.248,-1.591,0.050,16.968,163.696,62.012
-0.184,-1.320,0.154,18.982,147.034,91.003
-0.147,-1.106,0.044,58.105,133.301,98.022
-0.109,-1.134,0.030,57.495,112.183,98.450
-0.133,-1.009,0.132,62.073,93.689,126.099
-0.132,-0.882,0.096,55.786,95.154,144.531
-0.073,-0.487,0.133,80.994,83.313,169.617
-0.048,-0.377,-0.020,94.116,78.674,163.025
0.054,-0.286,-0.108,83.374,44.189,156.250
0.090,-0.294,-0.024,78.613,11.475,152.283
0.183,-0.078,0.146,70.862,-1.160,168.884
0.245,0.210,0.188,77.209,7.446,164.490
0.335,0.222,0.032,71.167,11.963,133.545
0.380,0.217,-0.004,66.589,0.366,124.695
0.477,0.333,-0.008,66.101,-15.442,119.629
0.612,0.484,-0.002,61.707,-30.090,114.502
0.782,0.728,0.180,70.862,-51.697,97.534
0.863,0.712,0.292,72.021,-47.180,64.941
0.931,0.438,0.162,52.673,-25.757,34.790
0.987,0.474,0.136,49.561,-32.532,39.368
1.074,0.538,0.383,21.729,-40.955,42.358
1.123,0.782,0.441,27.649,-31.128,50.842
1.144,0.744,0.367,7.874,-9.705,9.644
1.180,0.565,0.353,5.981,-9.827,-5.615
1.171,0.581,0.427,13.794,-9.521,-9.338
1.144,0.437,0.340,8.850,-2.930,-23.499
1.074,0.247,0.482,-3.540,-5.432,-24.597
1.035,0.225,0.451,0.610,6.409,-18.921
1.003,0.082,0.322,-10.315,13.794,-18.677
0.994,0.041,0.332,-8.667,9.033,-9.827
1.021,0.036,0.279,-6.470,14.160,-1.648
1.016,0.080,0.187,-8.728,17.700,4.150
0.978,0.245,0.072,-6.836,15.015,3.906
0.953,0.096,0.001,-4.395,4.395,-16.663
0.938,-0.045,0.171,1.831,-19.653,-16.724
0.949,0.031,0.265,15.747,-17.090,-10.315
0.974,-0.028,0.111,9.216,-2.686,-9.155
0.981,0.026,0.174,-6.042,-4.700,0.244
0.942,0.037,0.091,-19.897,6.226,1.770
0.935,0.029,0.041,-10.193,0.183,-0.488
0.953,0.010,0.122,-0.549,-9.827,0.916
0.974,0.149,0.210,6.592,-10.071,5.859
0.928,0.250,0.136,24.170,-5.554,-12.512
0.871,0.012,0.177,15.320,-15.076,-32.043
0.841,-0.189,0.361,16.724,-18.127,-22.522
0.873,-0.072,0.391,24.231,-6.592,-6.165
0.873,-0.080,0.454,17.334,0.305,-6.775
0.853,-0.046,0.194,22.034,10.010,-1.099
0.847,-0.035,0.214,16.174,-5.859,-1.038
0.899,-0.018,0.347,5.249,-14.404,3.845
0.948,0.047,0.389,-0.244,-10.620,5.798
0.954,0.036,0.353,-1.892,-2.625,-1.648
